Chapter Number,Verse Number,Translation Verses,Extracted Keywords
6.0,47.0,"Say: ""Imagine if the punishment of God were to come unawares, or openly, who will perish but the evil-doers?""","['doers ?""', 'come unawares', 'say', 'punishment', 'perish', 'openly', 'imagine', 'god', 'evil']"
6.0,48.0,We do not send apostles but to give good tidings and to warn. Then those who believe or reform will have neither fear nor regret.,"['give good tidings', 'send apostles', 'neither fear', 'warn', 'regret', 'reform', 'believe']"
6.0,49.0,But those who deny Our messages will be seized by nemesis for being disobedient.,"['seized', 'nemesis', 'messages', 'disobedient', 'deny']"
6.0,50.0,"Tell them: ""I do not say that I possess the treasures of God, or have knowledge of the Unknown, or that I am an angel. I only follow what is sent down to me."" And say: ""How can a blind man and a man who can see, be alike? Will you not reflect?""","['reflect ?""', 'blind man', 'man', 'unknown', 'treasures', 'tell', 'sent', 'see', 'say', 'say', 'possess', 'knowledge', 'god', 'follow', 'angel', 'alike', '.""']"
6.0,51.0,"Warn those who fear, through this (Qur'an), that they will be gathered before their Lord, and they will have none to protect or intercede for them apart from Him. They may haply take heed for themselves.","['may haply take heed', 'warn', 'qur', 'protect', 'none', 'lord', 'intercede', 'gathered', 'fear', 'apart', '),']"
6.0,52.0,"Do not turn away those who supplicate their Lord morning and evening, seeking His magnificence. You are not accountable for them in the least, nor they for you at all. If you drive them away you will only be unjust.","['lord morning', 'turn away', 'away', 'unjust', 'supplicate', 'seeking', 'magnificence', 'least', 'evening', 'drive', 'accountable']"
6.0,53.0,"Thus do We try men through one another so that they may ask: ""Are these the ones of all of us who have been favoured by God?"" Does God not know who are the grateful?","['try men', 'one another', 'may ask', 'god ?""', 'god', 'us', 'thus', 'ones', 'know', 'grateful', 'favoured']"
6.0,54.0,"When those who believe in Our revelations come to you, say to them: ""Peace on you."" Your Lord has prescribed grace for Himself, so that in case one of you commits evil out of ignorance, then feels repentant and reforms, He may be forgiving and kind.","['revelations come', 'prescribed grace', 'feels repentant', 'commits evil', 'case one', 'say', 'reforms', 'peace', 'may', 'lord', 'kind', 'ignorance', 'forgiving', 'believe', '.""']"
6.0,55.0,Thus distinctly do We explain Our signs that the way of sinners may become distinct.,"['sinners may become distinct', 'thus distinctly', 'way', 'signs', 'explain']"
6.0,56.0,"Tell them: ""I am forbidden to worship those you invoke apart from God."" And say: ""I will not follow your wishes. If I do, I shall be lost and not be one of those who follow the right path.""","['right path .""', 'god .""', 'invoke apart', 'worship', 'wishes', 'tell', 'shall', 'say', 'one', 'lost', 'forbidden', 'follow', 'follow']"
6.0,57.0,"Tell them: ""A clear proof has come to me from my Lord, and Him you deny. But what you wish to be hastened is not within my power. The judgement is only God's. He unfolds the Truth, and is the best of judges.""","['judges .""', 'clear proof', 'within', 'wish', 'unfolds', 'truth', 'tell', 'power', 'lord', 'judgement', 'hastened', 'god', 'deny', 'come', 'best']"
6.0,58.0,"Say: ""If what you wish to be hastened were in my power, all matters between you and me would have been settled; God is cognisant of those who are unjust.""","['unjust .""', 'would', 'wish', 'settled', 'say', 'power', 'matters', 'hastened', 'god', 'cognisant']"
6.0,59.0,"He has the keys of the Unknown. No one but He has knowledge; He knows what is on the land and in the sea. Not a leaf falls without His knowledge, nor a grain in the darkest (recess) of the earth, nor any thing green or seared that is not recorded in the open book (of nature).","['leaf falls without', 'thing green', 'open book', 'nature ).', 'unknown', 'seared', 'sea', 'recorded', 'recess', 'one', 'land', 'knows', 'knowledge', 'knowledge', 'keys', 'grain', 'earth', 'darkest']"
6.0,60.0,"It is He indeed who sends you to death at night, and knows what you do in the day, then makes you rise with it again in order that the fixed term of life be fulfilled. Then to Him you will be returned when He will tell you what you did.","['fixed term', 'tell', 'sends', 'rise', 'returned', 'order', 'night', 'makes', 'life', 'knows', 'indeed', 'fulfilled', 'death', 'day']"
6.0,61.0,"He has power over His creatures, and appoints guardians to watch over them. When death comes to one of you, Our messengers take away his soul, and do not falter.","['messengers take away', 'death comes', 'appoints guardians', 'watch', 'soul', 'power', 'one', 'falter', 'creatures']"
6.0,62.0,"Then they are taken to God, their real lord and master. His indeed is the judgement; and He is swift at reckoning.","['real lord', 'taken', 'swift', 'reckoning', 'master', 'judgement', 'indeed', 'god']"
6.0,63.0,"Ask: ""Who is it who comes to your rescue in the darkness of the desert and the sea, and whom you supplicate humbly and unseen: 'If You deliver us from this, we shall indeed he grateful?'","['supplicate humbly', 'shall indeed', ""grateful ?'"", 'deliver us', 'unseen', 'sea', 'rescue', 'desert', 'darkness', 'comes', 'ask']"
6.0,64.0,"Say: ""God delivers you from this and every calamity. Even then you ascribe compeers (to Him)!""","['god delivers', 'every calamity', 'ascribe compeers', 'say', 'even', ')!""']"
6.0,65.0,"Say: ""He has power to send you retribution from the skies above, or the earth beneath your feet, or confound you with divisions among you, and give one the taste of the vengeance of the other."" See, how distinctly We explain Our signs that they may understand.","['may understand', 'give one', 'earth beneath', 'divisions among', 'vengeance', 'taste', 'skies', 'signs', 'send', 'see', 'say', 'retribution', 'power', 'feet', 'explain', 'distinctly', 'confound', '.""']"
6.0,66.0,"This (Book) has been called by your people a falsehood though it is the truth. Say: ""I am not a warden over you.""","['falsehood though', 'warden', 'truth', 'say', 'people', 'called', 'book', '.""']"
6.0,67.0,A time is fixed for every prophecy; you will come to know in time.,"['every prophecy', 'time', 'time', 'know', 'fixed', 'come']"
6.0,68.0,"When you see them argue about Our messages, withdraw from their company until they begin to talk of other things. In case the Devil makes you forget, leave the company of these unjust people the moment you remember this.","['unjust people', 'devil makes', 'withdraw', 'things', 'talk', 'see', 'remember', 'moment', 'messages', 'leave', 'forget', 'company', 'company', 'case', 'begin', 'argue']"
6.0,69.0,"As for the heedful and devout, they are not accountable for them, but should give advice: They may haply come to fear God.","['may haply come', 'give advice', 'fear god', 'heedful', 'devout', 'accountable']"
6.0,70.0,"Leave those alone who have made a sport and frolic of their faith, and have been seduced by the life of this world. Remind them hereby lest a man is doomed for what he has done. He will have none to help him, or intercede for him, other than God; and even if he offer all the ransoms they will not be accepted from him. They are those who will be destroyed by their own acts. There will be scalding water to drink for them and painful punishment, for they had disbelieved.","['scalding water', 'painful punishment', 'hereby lest', 'world', 'sport', 'seduced', 'remind', 'ransoms', 'offer', 'none', 'man', 'made', 'life', 'leave', 'intercede', 'help', 'god', 'frolic', 'faith', 'even', 'drink', 'doomed', 'done', 'disbelieved', 'destroyed', 'alone', 'acts', 'accepted']"
6.0,71.0,"Say: 'Should we call in place of God one who can neither help nor do us harm, and turn back after having been guided by God, like a man beguiled by the devils who wanders perplexed in the wilderness while his friends call him back to the right path, saying: 'Come to us, this way?' Say: ""God's guidance is (true) guidance, and we have been commanded to submit to the Lord of all the worlds.","[""way ?'"", 'wanders perplexed', 'right path', 'neither help', 'man beguiled', 'us harm', 'turn back', 'friends call', 'god one', 'us', 'call', 'back', 'god', 'god', 'worlds', 'wilderness', 'true', 'submit', 'saying', 'say', 'say', 'place', 'lord', 'like', 'guided', 'guidance', 'guidance', 'devils', 'commanded', 'come']"
6.0,72.0,"Observe (your) devotional obligations and fear (God), for it is He before whom you will be gathered (in the end).""","['god ),', 'end ).""', 'devotional obligations', 'observe', 'gathered', 'fear']"
6.0,73.0,"It is He who created the heavens and the earth with a definite purpose. The day He will say ""Be, "" it will be. His word is the truth, His alone the power on the Day when the blast of the trumpet will be sounded. He knows the hidden and the visible. He is all-prudent and all-knowing.","['definite purpose', 'word', 'visible', 'truth', 'trumpet', 'sounded', 'say', 'prudent', 'power', 'knows', 'knowing', 'hidden', 'heavens', 'earth', 'day', 'day', 'created', 'blast', 'alone']"
6.0,74.0,"Remember when Abraham said to Azar, his father: ""Why do you take idols for God? I certainly find you and your people in error.""","['take idols', 'error .""', 'certainly find', 'abraham said', 'remember', 'people', 'god', 'father', 'azar']"
6.0,75.0,"Thus We showed to Abraham the visible and invisible world of the heavens and the earth, that he could be among those who believe.","['invisible world', 'visible', 'thus', 'showed', 'heavens', 'earth', 'could', 'believe', 'among', 'abraham']"
6.0,76.0,"When the night came with her covering of darkness he saw a star, and (Azar, his father) said: ""This is my Lord."" But when the star set, (Abraham) said: ""I love not those that wane.""","['wane .""', 'night came', 'lord .""', 'star set', 'star', 'saw', 'said', 'said', 'love', 'father', 'darkness', 'covering', 'azar', 'abraham']"
6.0,77.0,"When (Azar) saw the moon rise all aglow, he said: ""This is my Lord."" But even as the moon set, (Abraham) said: ""If my Lord had not shown me the way I would surely have gone astray.""","['gone astray .""', 'would surely', 'moon set', 'moon rise', 'lord .""', 'lord', 'way', 'shown', 'saw', 'said', 'said', 'even', 'azar', 'aglow', 'abraham']"
6.0,78.0,"When (Azar) saw the sun rise all resplendent, he said: ""My Lord is surely this, and the greatest of them all."" But the sun also set, and (Abraham) said: ""O my people, I am through with those you associate (with God).","['sun also set', 'sun rise', 'god ).', 'surely', 'saw', 'said', 'said', 'resplendent', 'people', 'lord', 'greatest', 'azar', 'associate', 'abraham', '.""']"
6.0,79.0,"I have truly turned my face towards Him who created the heavens and the earth: I have chosen one way and am not an idolater.""","['chosen one way', 'truly turned', 'idolater .""', 'face towards', 'heavens', 'earth', 'created']"
6.0,80.0,"His people argued, and he said: ""Do you argue with me about God? He has guided me already, and I fear not what you associate with Him, unless my Lord wills, for held within the knowledge of my Lord is everything. Will you not reflect?","['people argued', 'held within', 'lord wills', 'lord', 'unless', 'said', 'reflect', 'knowledge', 'guided', 'god', 'fear', 'everything', 'associate', 'argue', 'already']"
6.0,81.0,"And why should I fear those you associate with Him when you fear not associating others with God for which He has sent down no sanction? Tell me, whose way is the way of peace, if you have the knowledge?","['associating others', 'whose way', 'way', 'tell', 'sent', 'sanction', 'peace', 'knowledge', 'god', 'fear', 'fear', 'associate']"
6.0,82.0,"They alone have peace who believe and do not intermix belief with denial, and are guided on the right path.""","['right path .""', 'intermix belief', 'peace', 'guided', 'denial', 'believe', 'alone']"
6.0,83.0,This is the argument We gave to Abraham against his people. We exalt whosoever We please in rank by degrees. Your Lord is wise and all-knowing.,"['exalt whosoever', 'wise', 'rank', 'please', 'people', 'lord', 'knowing', 'gave', 'degrees', 'argument', 'abraham']"
6.0,84.0,"And We gave him Isaac and Jacob and guided them, as We had guided Noah before them, and of his descendants, David and Solomon and Job and Joseph and Moses and Aaron. Thus We reward those who are upright and do good.","['guided noah', 'guided', 'upright', 'thus', 'solomon', 'reward', 'moses', 'joseph', 'job', 'jacob', 'isaac', 'good', 'gave', 'descendants', 'david', 'aaron']"
6.0,85.0,"Zachariah and John We guided, and guided Jesus and Elias who were all among the upright.","['guided jesus', 'guided', 'zachariah', 'upright', 'john', 'elias', 'among']"
6.0,86.0,"We gave guidance to Ishmael, Elisha and Jonah and Lot; And We favoured them over the other people of the world,","['gave guidance', 'world', 'people', 'lot', 'jonah', 'ishmael', 'favoured', 'elisha']"
6.0,87.0,"As We did some of their fathers and progeny and brethren, and chose them, and showed them the right path.","['right path', 'showed', 'progeny', 'fathers', 'chose', 'brethren']"
6.0,88.0,"This is God's guidance: He gives among His creatures whom He will. If they had associated others with Him, surely vain would have been all they did.","['surely vain would', 'gives among', 'associated others', 'guidance', 'god', 'creatures']"
6.0,89.0,Those were the people to whom We gave the Book and the Law and the Prophethood. But if they reject these things We shall entrust them to a people who will not deny.,"['shall entrust', 'things', 'reject', 'prophethood', 'people', 'people', 'law', 'gave', 'deny', 'book']"
6.0,90.0,"Those were the people who were guided by God; so follow their way. Say: ""I ask no recompense of you for this. It is but a reminder for all the people of the world.""","['world .""', 'way', 'say', 'reminder', 'recompense', 'people', 'people', 'guided', 'god', 'follow', 'ask']"
6.0,91.0,"But they failed to make a just estimation of God when they said: ""He did not reveal to any man any thing."" Ask them: ""Who then revealed the Book that Moses brought, -- a guidance and light for men, -- which you treat as sheafs of paper, which you display, yet conceal a great deal, though through it you were taught things you did not know before, nor even your fathers knew?"" Say: ""God,"" and leave them to the sport of engaging in vain discourse.","['fathers knew ?""', 'yet conceal', 'vain discourse', 'thing .""', 'taught things', 'moses brought', 'great deal', 'god ,""', 'god', 'treat', 'though', 'sport', 'sheafs', 'say', 'said', 'revealed', 'reveal', 'paper', 'men', 'man', 'make', 'light', 'leave', 'know', 'guidance', 'failed', 'even', 'estimation', 'engaging', 'display', 'book', 'ask', '--', '--']"
6.0,92.0,"And this (Qur'an) is another Book that We have revealed, blessed, affirming the earlier (revelations), so that you may warn the people of (Makkah) the town of towns, and those who live around it. Those who believe in the life to come shall believe in it and be watchful of their moral obligations.","['come shall believe', 'revelations ),', 'moral obligations', 'may warn', 'live around', 'another book', 'believe', 'watchful', 'towns', 'town', 'revealed', 'qur', 'people', 'makkah', 'life', 'earlier', 'blessed', 'affirming']"
6.0,93.0,"Who is more vile than he who slanders God of falsehood, or says: ""Revelation came to me,"" when no such revelation came to him; or one who claims: ""I can reveal the like of what has been sent down by God?"" If you could see the evil creatures in the agony of death with the angels thrusting forward their hands (saying): ""Yield up your souls: This day you will suffer ignominious punishment for uttering lies about God and rejecting His signs with arrogance.""","['suffer ignominious punishment', 'angels thrusting forward', 'uttering lies', 'saying ):', 'revelation came', 'revelation came', 'evil creatures', 'could see', 'arrogance .""', 'slanders god', 'god ?""', 'god', 'yield', 'vile', 'souls', 'signs', 'sent', 'says', 'reveal', 'rejecting', 'one', 'like', 'hands', 'falsehood', 'death', 'day', 'claims', 'agony', ',""']"
6.0,94.0,"You have come before Us all alone, (God will say), ""as when you were created first, leaving behind all that We had bestowed on you. We do not see your intercessors with you who, you imagined, had partnership with you. Shattered lie your ties with them now, and gone are the claims you made.""","['shattered lie', 'say ),', 'made .""', 'leaving behind', 'created first', 'us', 'ties', 'see', 'partnership', 'intercessors', 'imagined', 'gone', 'god', 'come', 'claims', 'bestowed', 'alone']"
6.0,95.0,"Indeed it is God who splits up the seed and the kernel, and brings forth the living from the dead, the dead from the living. This is God: So whither do you stray?","['brings forth', 'whither', 'stray', 'splits', 'seed', 'living', 'living', 'kernel', 'indeed', 'god', 'god', 'dead', 'dead']"
6.0,96.0,"He ushers in the dawn, and made the night for rest, the sun and moon a computation. Such is the measure appointed by Him, the omnipotent and all-wise.","['measure appointed', 'wise', 'ushers', 'sun', 'rest', 'omnipotent', 'night', 'moon', 'made', 'dawn', 'computation']"
6.0,97.0,It is He who made the stars by which you reckon your way through the darkness of the desert and the sea. Distinct have We made Our signs for those who recognise.,"['way', 'stars', 'signs', 'sea', 'recognise', 'reckon', 'made', 'made', 'distinct', 'desert', 'darkness']"
6.0,98.0,"It is He who produced you from a single cell, and appointed a place of sojourning, (the womb of the mother), and a place of depositing, (the grave). How clear have We made Our signs for those who understand.","['single cell', 'mother ),', 'grave ).', 'womb', 'understand', 'sojourning', 'signs', 'produced', 'place', 'place', 'made', 'depositing', 'clear', 'appointed']"
6.0,99.0,"It is He who sends down water from the skies, and brings out of it everything that grows, the green foliage, the grain lying close, the date palm trees with clusters of dates, and the gardens of grapes, and of olives and pomegranates, so similar yet so unlike. Look at the fruits, how they appear on the trees, and they ripen. In all these are signs for those who believe.","['grain lying close', 'date palm trees', 'similar yet', 'green foliage', 'trees', 'water', 'unlike', 'skies', 'signs', 'sends', 'ripen', 'pomegranates', 'olives', 'look', 'grows', 'grapes', 'gardens', 'fruits', 'everything', 'dates', 'clusters', 'brings', 'believe', 'appear']"
6.0,100.0,"Yet they ascribe to jinns a partnership with God, although He created them; and they ascribe to Him sons and daughters, without possessing any knowledge. All praise be to Him. He is much too exalted for things they associate (with Him).","['without possessing', 'yet', 'things', 'sons', 'praise', 'partnership', 'much', 'knowledge', 'jinns', 'god', 'exalted', 'daughters', 'created', 'associate', 'ascribe', 'ascribe', 'although', ').']"
6.0,101.0,"Creator of the heavens and the earth from nothingness, how could He have a son when He has no mate? He created all things, and has knowledge of all things.","['things', 'things', 'son', 'nothingness', 'mate', 'knowledge', 'heavens', 'earth', 'creator', 'created', 'could']"
6.0,102.0,"This is God, your Lord; there is no god but He, the creator of all things. So pay homage to Him, for He takes care of everything.","['takes care', 'pay homage', 'things', 'lord', 'god', 'god', 'everything', 'creator']"
6.0,103.0,"No eyes can penetrate Him, but He penetrates all eyes, and He knows all the mysteries, for He is all-knowing.","['penetrates', 'penetrate', 'mysteries', 'knows', 'knowing', 'eyes', 'eyes']"
6.0,104.0,"To you have come signs from your Lord, (and the light of understanding). So any one who sees (and understands) does so for himself, and any one who turns blind shall suffer the consequences alone. (Say:) ""I am not a guardian over you (to make you understand).""","['turns blind shall suffer', 'understanding ).', 'understand ).""', 'say :)', 'consequences alone', 'come signs', 'understands', 'sees', 'one', 'one', 'make', 'lord', 'light', 'guardian']"
6.0,105.0,"Thus in varied ways We explain Our signs so that they may say: ""You have been instructed,"" and that We might make it clear to those who understand.","['varied ways', 'might make', 'may say', 'instructed ,""', 'understand', 'thus', 'signs', 'explain', 'clear']"
6.0,106.0,"So follow what is sent down to you by your Lord, for homage is due to no one but God, and turn away from idolaters.","['turn away', 'sent', 'one', 'lord', 'idolaters', 'homage', 'god', 'follow', 'due']"
6.0,107.0,"Had He willed they would not have been idolaters. We have not appointed you their guardian, nor are you their pleader.","['would', 'willed', 'pleader', 'idolaters', 'guardian', 'appointed']"
6.0,108.0,"Do not revile those who invoke others apart from God, lest they begin to revile God out of malice and ignorance. We have made attractive their deeds to every people. They have to go back to their Lord, when He will tell them what they used to do.","['invoke others apart', 'made attractive', 'go back', 'every people', 'revile god', 'revile', 'god', 'used', 'tell', 'malice', 'lord', 'lest', 'ignorance', 'deeds', 'begin']"
6.0,109.0,"They solemnly swear by God: ""If a sign comes to us we shall certainly believe in it."" Tell them: ""The signs are with God."" Yet for all you know they will not believe if the signs came to them.","['shall certainly believe', 'solemnly swear', 'sign comes', 'signs came', 'god .""', 'believe', 'signs', 'god', '.""', 'yet', 'us', 'tell', 'know']"
6.0,110.0,"We shall turn their hearts and their eyes, for they did not believe them at the very first, and leave them to wander perplexed in bewilderment.","['wander perplexed', 'shall turn', 'leave', 'hearts', 'first', 'eyes', 'bewilderment', 'believe']"
6.0,111.0,"Even if We send down the angels to them, and the dead should speak to them, and We gather all things before their eyes, they will not believe, unless God should will, for most of them are ignorant.","['unless god', 'things', 'speak', 'send', 'ignorant', 'gather', 'eyes', 'even', 'dead', 'believe', 'angels']"
6.0,112.0,"That is how We have made for each apostle opponents, the satans among men and jinns, who inspire one another with deceitful talk. But if your Lord had willed they would not have done so. Pay no attention to them and to what they fabricate.","['satans among men', 'inspire one another', 'deceitful talk', 'apostle opponents', 'would', 'willed', 'pay', 'made', 'lord', 'jinns', 'fabricate', 'done', 'attention']"
6.0,113.0,"Let those who do not believe in the life to come, listen to it and be pleased with it, and let them gain what they may gain.","['may gain', 'gain', 'pleased', 'listen', 'life', 'let', 'let', 'come', 'believe']"
6.0,114.0,"(Say): ""Then should I seek (the source of) law elsewhere than God, when it is He who has revealed this Book to you, which distinctly explains (everything)?"" Those to whom We have given the Book know it has been sent by your Lord in truth. So be not a sceptic.","['say ):', 'law elsewhere', 'everything )?""', 'distinctly explains', 'book know', 'book', 'truth', 'source', 'sent', 'seek', 'sceptic', 'revealed', 'lord', 'god', 'given']"
6.0,115.0,"Perfected are the laws of your Lord in truth and justice, and there is no changing His laws. He is all-hearing and all-knowing.","['truth', 'perfected', 'lord', 'laws', 'laws', 'knowing', 'justice', 'hearing', 'changing']"
6.0,116.0,"If you follow the majority of people on the earth, they will lead you astray from the path of God, for they follow only conjecture and surmise.","['surmise', 'people', 'path', 'majority', 'lead', 'god', 'follow', 'follow', 'earth', 'conjecture', 'astray']"
6.0,117.0,"Your Lord surely knows those who have strayed from his path, and knows those who are rightly guided.","['lord surely knows', 'rightly guided', 'knows', 'strayed', 'path']"
6.0,118.0,"Eat only that over which the name of God has been pronounced, if you truly believe in His commands.","['truly believe', 'pronounced', 'name', 'god', 'eat', 'commands']"
6.0,119.0,"And why should you not eat of that over which the name of God has been pronounced, when He has made it distinctly clear what is forbidden, unless you are constrained to do so. Surely many (men) mislead others into following their vain desires through lack of knowledge. Your Lord certainly knows the transgressors.","['lord certainly knows', 'vain desires', 'surely many', 'mislead others', 'distinctly clear', 'unless', 'transgressors', 'pronounced', 'name', 'men', 'made', 'lack', 'knowledge', 'god', 'forbidden', 'following', 'eat', 'constrained']"
6.0,120.0,Discard both the visible and invisible sin. For those who sin will be punished for what they have done.,"['invisible sin', 'sin', 'visible', 'punished', 'done', 'discard']"
6.0,121.0,"Do not eat of that over which God's name has not been pronounced, for that would amount to exceeding the limits of law. Certainly the devils inspire their proteges to dispute with you: If you obey them, you will surely become an idolater.","['would amount', 'surely become', 'devils inspire', 'proteges', 'pronounced', 'obey', 'name', 'limits', 'law', 'idolater', 'god', 'exceeding', 'eat', 'dispute', 'certainly']"
6.0,122.0,"Can he who was lifeless, to whom We gave life, and gave him a light in whose glow he walks among men, be like him who is used to darkness from which he can never emerge? Thus have been their doings made attractive to unbelievers.","['walks among men', 'doings made attractive', 'whose glow', 'never emerge', 'gave life', 'gave', 'used', 'unbelievers', 'thus', 'like', 'light', 'lifeless', 'darkness']"
6.0,123.0,And thus have We placed in every city the greatest of the sinners to contrive and deceive; yet they contrive against no one but themselves even though they do not know.,"['every city', 'even though', 'yet', 'thus', 'sinners', 'placed', 'one', 'know', 'greatest', 'deceive', 'contrive', 'contrive']"
6.0,124.0,"Every time a sign comes to them they say: ""We shall never believe till what God's apostles had been given comes to us."" God knows best where to direct His messages. A degradation will befall the sinners and chastisement from God for deceiving.","['shall never believe till', 'god knows best', 'us .""', 'sign comes', 'given comes', 'every time', 'god', 'god', 'sinners', 'say', 'messages', 'direct', 'degradation', 'deceiving', 'chastisement', 'befall', 'apostles']"
6.0,125.0,"Thus God guides whomsoever He please by opening wide his breast to surrender; and Straitens the breasts of those He allows to go astray, (who feel suffocated) as if they were ascending the skies. Thus will God punish those who do not believe.","['thus god guides whomsoever', 'god punish', 'opening wide', 'go astray', 'feel suffocated', 'thus', 'surrender', 'straitens', 'skies', 'please', 'breasts', 'breast', 'believe', 'ascending', 'allows']"
6.0,126.0,This is the straight path of your Lord. Distinct have We made Our signs for those who reflect.,"['straight path', 'signs', 'reflect', 'made', 'lord', 'distinct']"
6.0,127.0,For them is an abode of peace with their Lord. He will be their defender as reward for what they did.,"['reward', 'peace', 'lord', 'defender', 'abode']"
6.0,128.0,"On the day He will gather them together, (He will say:) ""O you assembly of jinns, you made great use of men."" But their proteges among men will say: ""O our Lord, we lived a life of mutual gain, but have now reached the term You ordained for us."" ""Your abode is Hell,"" He will say, ""where you will dwell for ever, unless God please otherwise."" Verily your Lord is wise and all-knowing.","['unless god please otherwise .""', 'made great use', 'proteges among men', 'men .""', 'us .""', 'mutual gain', 'hell ,""', 'say :)', 'say', 'say', 'wise', 'verily', 'together', 'term', 'reached', 'ordained', 'lord', 'lord', 'lived', 'life', 'knowing', 'jinns', 'gather', 'ever', 'dwell', 'day', 'assembly', 'abode']"
6.0,129.0,Thus do We place some sinners over others as requital for their deeds.,"['thus', 'sinners', 'requital', 'place', 'others', 'deeds']"
6.0,130.0,"O you assembly of jinns and men, did not apostles come to you from among you, communicating My signs to you, bringing warnings of this your day (of Doom)?"" They will answer: ""We bear witness to our sins."" They were surely deluded by the life of the world, and bore witness against themselves because they were unbelievers.","['surely deluded', 'sins .""', 'doom )?""', 'bringing warnings', 'bore witness', 'bear witness', 'apostles come', 'world', 'unbelievers', 'signs', 'men', 'life', 'jinns', 'day', 'communicating', 'assembly', 'answer', 'among']"
6.0,131.0,And this (so that it may be clear) that your Lord does not destroy towns and cities arbitrarily while the citizens remain unaware.,"['citizens remain unaware', 'destroy towns', 'cities arbitrarily', 'may', 'lord', 'clear']"
6.0,132.0,"Every one has his place according to his deeds, for your Lord is not negligent of what you do.","['place according', 'every one', 'negligent', 'lord', 'deeds']"
6.0,133.0,"Your Lord is all-sufficient and full of benevolence. He can take you away if He please, and make whom He will succeed you, as He had raised you from the progeny of others.","['take', 'sufficient', 'succeed', 'raised', 'progeny', 'please', 'others', 'make', 'lord', 'full', 'benevolence', 'away']"
6.0,134.0,The promise that was made to you is bound to be fulfilled. It is not in your power to defeat it.,"['promise', 'power', 'made', 'fulfilled', 'defeat', 'bound']"
6.0,135.0,"Tell them: ""O my people, go on acting on your part, I am acting on mine. You will soon know whose is the guerdon of life to come."" The wicked will not succeed.","['soon know whose', 'come .""', 'wicked', 'tell', 'succeed', 'people', 'part', 'mine', 'life', 'guerdon', 'go', 'acting', 'acting']"
6.0,136.0,"They allocate a share from God's own created fields and cattle to God, and they say: ""This is God's"" -- or so they think -- ""and that, of the compeers of God,"" so that what belongs to the compeers does not reach God, but that which is God's may reach the compeers (set up by them). How bad is the judgement that they make!","['may reach', 'created fields', 'think --', 'reach god', 'god ,""', '--', 'god', 'god', 'god', 'god', 'share', 'set', 'say', 'make', 'judgement', 'compeers', 'compeers', 'compeers', 'cattle', 'belongs', 'bad', 'allocate', ').']"
6.0,137.0,In the same way have their companions shown many unbelievers the killing of their children as desirable in order to ruin them and falsify their faith. If God had so willed they would never have done so. Leave them to their falsehoods.,"['companions shown many unbelievers', 'would never', 'willed', 'way', 'ruin', 'order', 'leave', 'killing', 'god', 'falsify', 'falsehoods', 'faith', 'done', 'desirable', 'children']"
6.0,138.0,"They also say: ""These cattle and these crops are consecrated. None may eat of them other than those we permit,"" -- so they assert. ""And the use of these cattle is forbidden for carrying burden."" They do not pronounce the name of God on certain animals, inventing lies against Him. He will punish them for what they fabricate.","['permit ,"" --', 'none may eat', 'carrying burden .""', 'inventing lies', 'certain animals', 'also say', 'use', 'punish', 'pronounce', 'name', 'god', 'forbidden', 'fabricate', 'crops', 'consecrated', 'cattle', 'cattle', 'assert']"
6.0,139.0,"And they say: ""Whatever is in the wombs of these cattle is only meant for men and forbidden our women; but in case it should be still-born both could eat it."" God will punish them for what they assert. He is all-wise and all-knowing.","['could eat', 'women', 'wombs', 'wise', 'whatever', 'still', 'say', 'punish', 'men', 'meant', 'knowing', 'god', 'forbidden', 'cattle', 'case', 'born', 'assert', '.""']"
6.0,140.0,"They will surely perish who kill their offspring in ignorance foolhardily, and forbid the food that God has given them by fabricating lies against God. Misguided are they surely, and will never come to guidance.","['never come', 'ignorance foolhardily', 'fabricating lies', 'surely perish', 'surely', 'offspring', 'misguided', 'kill', 'guidance', 'god', 'god', 'given', 'forbid', 'food']"
6.0,141.0,"It is He who grew the gardens, trellised and bowered, and palm trees and land sown with corn and many other seeds, and olives and pomegranates, alike and yet unlike. So eat of their fruit when they are in fruit, and give on the day of harvesting His due, and do not be extravagant, for God does not love those who are prodigal.","['yet unlike', 'palm trees', 'land sown', 'trellised', 'seeds', 'prodigal', 'pomegranates', 'olives', 'many', 'love', 'harvesting', 'grew', 'god', 'give', 'gardens', 'fruit', 'fruit', 'extravagant', 'eat', 'due', 'day', 'corn', 'bowered', 'alike']"
6.0,142.0,"He has created beasts of burden and cattle for slaughter. So eat of what God has given you for food, and do not walk in the footsteps of Satan who is surely your declared enemy.","['declared enemy', 'created beasts', 'walk', 'surely', 'slaughter', 'satan', 'god', 'given', 'footsteps', 'food', 'eat', 'cattle', 'burden']"
6.0,143.0,"There are eight pairs, two of the species of sheep and two of goats. Ask them which has He forbidden, the two males or the two females, or what the females carry in their wombs? Produce the sanction if you are truthful.","['females carry', 'eight pairs', 'two males', 'two females', 'two', 'two', 'wombs', 'truthful', 'species', 'sheep', 'sanction', 'produce', 'goats', 'forbidden', 'ask']"
