Surah Name,Verse Translation,Number Chapter and Verse,Cleaned Text,Stemmed Text,Lemmatized Text
Surah Ale-Imran,"They are in varying grades with Allah, and Allah is All-Seer of what they do.",3:163,varying grades allah allah allseer,vari grade allah allah allseer,varying grade allah allah allseer
Surah Ale-Imran,"Indeed Allah conferred a great favour on the believers when He sent among them a Messenger (Muhammad ) from among themselves, reciting unto them His Verses (the Qur’an), and purifying them (from sins by their following him), and instructing them (in) the Book (the Qur’an) and Al-Hikmah [the wisdom and the Sunnah of the Prophet  (i.e. his legal ways, statements, acts of worship, etc.)], while before that they had been in manifest error.",3:164,indeed allah conferred great favour believers sent among messenger muhammad among reciting unto verses quran purifying sins following instructing book quran alhikmah wisdom sunnah prophet ie legal ways statements acts worship etc manifest error,inde allah confer great favour believ sent among messeng muhammad among recit unto vers quran purifi sin follow instruct book quran alhikmah wisdom sunnah prophet ie legal way statement act worship etc manifest error,indeed allah conferred great favour believer sent among messenger muhammad among reciting unto verse quran purifying sin following instructing book quran alhikmah wisdom sunnah prophet ie legal way statement act worship etc manifest error
Surah Ale-Imran,"(What is the matter with you?) When a single disaster smites you, although you smote (your enemies) with one twice as great, you say: “From where does this come to us?” Say (to them), “It is from yourselves (because of your evil deeds).” And Allah has power over all things.",3:165,matter single disaster smites although smote enemies one twice great say come us say evil deeds allah power things,matter singl disast smite although smote enemi one twice great say come us say evil deed allah power thing,matter single disaster smites although smote enemy one twice great say come u say evil deed allah power thing
Surah Ale-Imran,"And what you suffered (of the disaster) on the day (of the battle of Uhud when) the two armies met, was by the leave of Allah, in order that He might test the believers.",3:166,suffered disaster day battle uhud two armies met leave allah order might test believers,suffer disast day battl uhud two armi met leav allah order might test believ,suffered disaster day battle uhud two army met leave allah order might test believer
Surah Ale-Imran,"And that He might test the hypocrites, it was said to them: “Come, fight in the Way of Allah or (at least) defend yourselves.” They said: “Had we known that fighting will take place, we would certainly have followed you.” They were that day, nearer to disbelief than to Faith, saying with their mouths what was not in their hearts. And Allah has full knowledge of what they conceal.",3:167,might test hypocrites said come fight way allah least defend said known fighting take place would certainly followed day nearer disbelief faith saying mouths hearts allah full knowledge conceal,might test hypocrit said come fight way allah least defend said known fight take place would certainli follow day nearer disbelief faith say mouth heart allah full knowledg conceal,might test hypocrite said come fight way allah least defend said known fighting take place would certainly followed day nearer disbelief faith saying mouth heart allah full knowledge conceal
Surah Ale-Imran,"(They are) the ones who said about their killed brethren while they themselves sat (at home): “If only they had listened to us, they would not have been killed.” Say: “Avert death from your ownselves, if you speak the truth.”",3:168,ones said killed brethren sat home listened us would killed say avert death ownselves speak truth,one said kill brethren sat home listen us would kill say avert death ownselv speak truth,one said killed brother sat home listened u would killed say avert death ownselves speak truth
Surah Ale-Imran,"Think not of those who are killed in the Way of Allah as dead. Nay, they are alive, with their Lord, and they have provision.",3:169,think killed way allah dead nay alive lord provision,think kill way allah dead nay aliv lord provis,think killed way allah dead nay alive lord provision
Surah Ale-Imran,"They rejoice in what Allah has bestowed upon them of His Bounty, rejoicing for the sake of those who have not yet joined them, but are left behind (not yet martyred) that on them no fear shall come, nor shall they grieve.",3:170,rejoice allah bestowed upon bounty rejoicing sake yet joined left behind yet martyred fear shall come shall grieve,rejoic allah bestow upon bounti rejoic sake yet join left behind yet martyr fear shall come shall griev,rejoice allah bestowed upon bounty rejoicing sake yet joined left behind yet martyred fear shall come shall grieve
Surah Ale-Imran,"They rejoice in a Grace and a Bounty from Allah, and that Allah will not waste the reward of the believers.",3:171,rejoice grace bounty allah allah waste reward believers,rejoic grace bounti allah allah wast reward believ,rejoice grace bounty allah allah waste reward believer
Surah Ale-Imran,"Those who answered (the Call of) Allah and the Messenger (Muhammad ) after being wounded; for those of them who did good deeds and feared Allah, there is a great reward.",3:172,answered call allah messenger muhammad wounded good deeds feared allah great reward,answer call allah messeng muhammad wound good deed fear allah great reward,answered call allah messenger muhammad wounded good deed feared allah great reward
Surah Ale-Imran,"Those (i.e. believers) unto whom the people (hypocrites) said, “Verily, the people (pagans) have gathered against you (a great army), therefore, fear them.” But it (only) increased them in Faith, and they said: “Allah (Alone) is Sufficient for us, and He is the Best Disposer of affairs (for us).”",3:173,ie believers unto people hypocrites said verily people pagans gathered great army therefore fear increased faith said allah alone sufficient us best disposer affairs us,ie believ unto peopl hypocrit said verili peopl pagan gather great armi therefor fear increas faith said allah alon suffici us best dispos affair us,ie believer unto people hypocrite said verily people pagan gathered great army therefore fear increased faith said allah alone sufficient u best disposer affair u
Surah Ale-Imran,So they returned with Grace and Bounty from Allah. No harm touched them; and they followed the good Pleasure of Allah. And Allah is the Owner of Great Bounty.,3:174,returned grace bounty allah harm touched followed good pleasure allah allah owner great bounty,return grace bounti allah harm touch follow good pleasur allah allah owner great bounti,returned grace bounty allah harm touched followed good pleasure allah allah owner great bounty
Surah Ale-Imran,"It is only Shaitan (Satan) that suggests to you the fear of his Auliya’ [supporters and friends (polytheists, disbelievers in the Oneness of Allah and in His Messenger, Muhammad )], so fear them not, but fear Me, if you are (true) believers.",3:175,shaitan satan suggests fear auliya supporters friends polytheists disbelievers oneness allah messenger muhammad fear fear true believers,shaitan satan suggest fear auliya support friend polytheist disbeliev one allah messeng muhammad fear fear true believ,shaitan satan suggests fear auliya supporter friend polytheist disbeliever oneness allah messenger muhammad fear fear true believer
Surah Ale-Imran,"And let not those grieve you (O Muhammad ) who rush with haste to disbelieve; verily, not the least harm will they do to Allah. It is Allah’s Will to give them no portion in the Hereafter. For them there is a great torment.",3:176,let grieve muhammad rush haste disbelieve verily least harm allah allahs give portion hereafter great torment,let griev muhammad rush hast disbeliev verili least harm allah allah give portion hereaft great torment,let grieve muhammad rush haste disbelieve verily least harm allah allah give portion hereafter great torment
Surah Ale-Imran,"Verily, those who purchase disbelief at the price of Faith, not the least harm will they do to Allah. For them, there is a painful torment.",3:177,verily purchase disbelief price faith least harm allah painful torment,verili purchas disbelief price faith least harm allah pain torment,verily purchase disbelief price faith least harm allah painful torment
Surah Ale-Imran,And let not the disbelievers think that Our postponing of their punishment is good for them. We postpone the punishment only so that they may increase in sinfulness. And for them is a disgracing torment.,3:178,let disbelievers think postponing punishment good postpone punishment may increase sinfulness disgracing torment,let disbeliev think postpon punish good postpon punish may increas sin disgrac torment,let disbeliever think postponing punishment good postpone punishment may increase sinfulness disgracing torment
Surah Ale-Imran,"Allah will not leave the believers in the state in which you are now, until He distinguishes the wicked from the good. Nor will Allah disclose to you the secrets of the Ghaib (unseen), but Allah chooses of His Messengers whom He pleases. So believe in Allah and His Messengers. And if you believe and fear Allah, then for you there is a great reward.",3:179,allah leave believers state distinguishes wicked good allah disclose secrets ghaib unseen allah chooses messengers pleases believe allah messengers believe fear allah great reward,allah leav believ state distinguish wick good allah disclos secret ghaib unseen allah choos messeng pleas believ allah messeng believ fear allah great reward,allah leave believer state distinguishes wicked good allah disclose secret ghaib unseen allah chooses messenger plea believe allah messenger believe fear allah great reward
Surah Ale-Imran,"And let not those who covetously withhold of that which Allah has bestowed on them of His Bounty (Wealth) think that it is good for them (and so they do not pay the obligatory Zakat). Nay, it will be worse for them; the things which they covetously withheld shall be tied to their necks like a collar on the Day of Resurrection. And to Allah belongs the heritage of the heavens and the earth; and Allah is Well-Acquainted with all that you do.",3:180,let covetously withhold allah bestowed bounty wealth think good pay obligatory zakat nay worse things covetously withheld shall tied necks like collar day resurrection allah belongs heritage heavens earth allah wellacquainted,let covet withhold allah bestow bounti wealth think good pay obligatori zakat nay wors thing covet withheld shall tie neck like collar day resurrect allah belong heritag heaven earth allah wellacquaint,let covetously withhold allah bestowed bounty wealth think good pay obligatory zakat nay worse thing covetously withheld shall tied neck like collar day resurrection allah belongs heritage heaven earth allah wellacquainted
Surah Ale-Imran,"Indeed, Allah has heard the statement of those (Jews) who say: “Truly, Allah is poor and we are rich!” We shall record what they have said and their killing of the Prophets unjustly, and We shall say: “Taste you the torment of the burning (Fire).”",3:181,indeed allah heard statement jews say truly allah poor rich shall record said killing prophets unjustly shall say taste torment burning fire,inde allah heard statement jew say truli allah poor rich shall record said kill prophet unjustli shall say tast torment burn fire,indeed allah heard statement jew say truly allah poor rich shall record said killing prophet unjustly shall say taste torment burning fire
Surah Ale-Imran,"This is because of that (evil) which your hands have sent before you. And certainly, Allah is never unjust to (His) slaves.",3:182,evil hands sent certainly allah never unjust slaves,evil hand sent certainli allah never unjust slave,evil hand sent certainly allah never unjust slave
Surah Ale-Imran,"Those (Jews) who said: “Verily, Allah has taken our promise not to believe in any Messenger unless he brings to us an offering which the fire (from heaven) shall devour.” Say: “Verily, there came to you Messengers before me, with clear signs and even with what you speak of; why then did you kill them, if you are truthful?”",3:183,jews said verily allah taken promise believe messenger unless brings us offering fire heaven shall devour say verily came messengers clear signs even speak kill truthful,jew said verili allah taken promis believ messeng unless bring us offer fire heaven shall devour say verili came messeng clear sign even speak kill truth,jew said verily allah taken promise believe messenger unless brings u offering fire heaven shall devour say verily came messenger clear sign even speak kill truthful
Surah Ale-Imran,"Then if they reject you (O Muhammad ), so were Messengers rejected before you, who came with Al-Baiyinat (clear signs, proofs, evidences) and the Scripture and the Book of Enlightenment.",3:184,reject muhammad messengers rejected came albaiyinat clear signs proofs evidences scripture book enlightenment,reject muhammad messeng reject came albaiyinat clear sign proof evid scriptur book enlighten,reject muhammad messenger rejected came albaiyinat clear sign proof evidence scripture book enlightenment
Surah Ale-Imran,"Everyone shall taste death. And only on the Day of Resurrection shall you be paid your wages in full. And whoever is removed away from the Fire and admitted to Paradise, he indeed is successful. The life of this world is only the enjoyment of deception (a deceiving thing).",3:185,everyone shall taste death day resurrection shall paid wages full whoever removed away fire admitted paradise indeed successful life world enjoyment deception deceiving thing,everyon shall tast death day resurrect shall paid wage full whoever remov away fire admit paradis inde success life world enjoy decept deceiv thing,everyone shall taste death day resurrection shall paid wage full whoever removed away fire admitted paradise indeed successful life world enjoyment deception deceiving thing
Surah Ale-Imran,"You shall certainly be tried and tested in your wealth and properties and in your personal selves, and you shall certainly hear much that will grieve you from those who received the Scripture before you (Jews and Christians) and from those who ascribe partners to Allah, but if you persevere patiently, and become Al-Muttaqun (the pious – see V.2:2) then verily, that will be a determining factor in all affairs, and that is from the great matters, [which you must hold on with all your efforts].",3:186,shall certainly tried tested wealth properties personal selves shall certainly hear much grieve received scripture jews christians ascribe partners allah persevere patiently become almuttaqun pious see v verily determining factor affairs great matters must hold efforts,shall certainli tri test wealth properti person selv shall certainli hear much griev receiv scriptur jew christian ascrib partner allah persever patient becom almuttaqun piou see v verili determin factor affair great matter must hold effort,shall certainly tried tested wealth property personal self shall certainly hear much grieve received scripture jew christian ascribe partner allah persevere patiently become almuttaqun pious see v verily determining factor affair great matter must hold effort
Surah Ale-Imran,"(And remember) when Allah took a covenant from those who were given the Scripture (Jews and Christians) to make it (the news of the coming of Prophet Muhammad  and the religious knowledge) known and clear to mankind, and not to hide it, but they threw it away behind their backs, and purchased with it some miserable gain! And indeed worst is that which they bought.",3:187,remember allah took covenant given scripture jews christians make news coming prophet muhammad religious knowledge known clear mankind hide threw away behind backs purchased miserable gain indeed worst bought,rememb allah took coven given scriptur jew christian make news come prophet muhammad religi knowledg known clear mankind hide threw away behind back purchas miser gain inde worst bought,remember allah took covenant given scripture jew christian make news coming prophet muhammad religious knowledge known clear mankind hide threw away behind back purchased miserable gain indeed worst bought
Surah Ale-Imran,"Think not that those who rejoice in what they have done (or brought about), and love to be praised for what they have not done,- think not you that they are rescued from the torment, and for them is a painful torment.",3:188,think rejoice done brought love praised done think rescued torment painful torment,think rejoic done brought love prais done think rescu torment pain torment,think rejoice done brought love praised done think rescued torment painful torment
Surah Ale-Imran,"And to Allah belongs the dominion of the heavens and the earth, and Allah has power over all things.",3:189,allah belongs dominion heavens earth allah power things,allah belong dominion heaven earth allah power thing,allah belongs dominion heaven earth allah power thing
Surah Ale-Imran,"Verily! In the creation of the heavens and the earth, and in the alternation of night and day, there are indeed signs for men of understanding.",3:190,verily creation heavens earth alternation night day indeed signs men understanding,verili creation heaven earth altern night day inde sign men understand,verily creation heaven earth alternation night day indeed sign men understanding
Surah Ale-Imran,"Those who remember Allah (always, and in prayers) standing, sitting, and lying down on their sides, and think deeply about the creation of the heavens and the earth, (saying): “Our Lord! You have not created (all) this without purpose, glory to You! (Exalted be You above all that they associate with You as partners). Give us salvation from the torment of the Fire.",3:191,remember allah always prayers standing sitting lying sides think deeply creation heavens earth saying lord created without purpose glory exalted associate partners give us salvation torment fire,rememb allah alway prayer stand sit lie side think deepli creation heaven earth say lord creat without purpos glori exalt associ partner give us salvat torment fire,remember allah always prayer standing sitting lying side think deeply creation heaven earth saying lord created without purpose glory exalted associate partner give u salvation torment fire
Surah Ale-Imran,"“Our Lord! Verily, whom You admit to the Fire, indeed, You have disgraced him, and never will the Zalimun (polytheists and wrong-doers) find any helpers.",3:192,lord verily admit fire indeed disgraced never zalimun polytheists wrongdoers find helpers,lord verili admit fire inde disgrac never zalimun polytheist wrongdoer find helper,lord verily admit fire indeed disgraced never zalimun polytheist wrongdoer find helper
Surah Ale-Imran,"“Our Lord! Verily, we have heard the call of one (Muhammad ) calling to Faith: ‘Believe in your Lord,’ and we have believed. Our Lord! Forgive us our sins and remit from us our evil deeds, and make us die in the state of righteousness along with Al-Abrar (those who are obedient to Allah and follow strictly His Orders).",3:193,lord verily heard call one muhammad calling faith believe lord believed lord forgive us sins remit us evil deeds make us die state righteousness along alabrar obedient allah follow strictly orders,lord verili heard call one muhammad call faith believ lord believ lord forgiv us sin remit us evil deed make us die state righteous along alabrar obedi allah follow strictli order,lord verily heard call one muhammad calling faith believe lord believed lord forgive u sin remit u evil deed make u die state righteousness along alabrar obedient allah follow strictly order
Surah Ale-Imran,"“Our Lord! Grant us what You promised unto us through Your Messengers and disgrace us not on the Day of Resurrection, for You never break (Your) Promise.”",3:194,lord grant us promised unto us messengers disgrace us day resurrection never break promise,lord grant us promis unto us messeng disgrac us day resurrect never break promis,lord grant u promised unto u messenger disgrace u day resurrection never break promise
Surah Ale-Imran,"So their Lord accepted of them (their supplication and answered them), “Never will I allow to be lost the work of any of you, be he male or female. You are (members) one of another, so those who emigrated and were driven out from their homes, and suffered harm in My Cause, and who fought, and were killed (in My Cause), verily, I will remit from them their evil deeds and admit them into Gardens under which rivers flow (in Paradise); a reward from Allah, and with Allah is the best of rewards.”",3:195,lord accepted supplication answered never allow lost work male female members one another emigrated driven homes suffered harm cause fought killed cause verily remit evil deeds admit gardens rivers flow paradise reward allah allah best rewards,lord accept supplic answer never allow lost work male femal member one anoth emigr driven home suffer harm caus fought kill caus verili remit evil deed admit garden river flow paradis reward allah allah best reward,lord accepted supplication answered never allow lost work male female member one another emigrated driven home suffered harm cause fought killed cause verily remit evil deed admit garden river flow paradise reward allah allah best reward
Surah Ale-Imran,Let not the free disposal (and affluence) of the disbelievers throughout the land deceive you.,3:196,let free disposal affluence disbelievers throughout land deceive,let free dispos affluenc disbeliev throughout land deceiv,let free disposal affluence disbeliever throughout land deceive
Surah Ale-Imran,"A brief enjoyment; then, their ultimate abode is Hell; and worst indeed is that place for rest.",3:197,brief enjoyment ultimate abode hell worst indeed place rest,brief enjoy ultim abod hell worst inde place rest,brief enjoyment ultimate abode hell worst indeed place rest
Surah Ale-Imran,"But, for those who fear their Lord, are Gardens under which rivers flow (in Paradise); therein are they to dwell (for ever), an entertainment from Allah; and that which is with Allah is the Best for Al-Abrar (those who are obedient to Allah and follow strictly His Orders).",3:198,fear lord gardens rivers flow paradise therein dwell ever entertainment allah allah best alabrar obedient allah follow strictly orders,fear lord garden river flow paradis therein dwell ever entertain allah allah best alabrar obedi allah follow strictli order,fear lord garden river flow paradise therein dwell ever entertainment allah allah best alabrar obedient allah follow strictly order
Surah Ale-Imran,"And there are, certainly, among the people of the Scripture (Jews and Christians), those who believe in Allah and in that which has been revealed to you, and in that which has been revealed to them, humbling themselves before Allah. They do not sell the Verses of Allah for a little price, for them is a reward with their Lord. Surely, Allah is Swift in account.",3:199,certainly among people scripture jews christians believe allah revealed revealed humbling allah sell verses allah little price reward lord surely allah swift account,certainli among peopl scriptur jew christian believ allah reveal reveal humbl allah sell vers allah littl price reward lord sure allah swift account,certainly among people scripture jew christian believe allah revealed revealed humbling allah sell verse allah little price reward lord surely allah swift account
Surah Ale-Imran,"O you who believe! Endure and be more patient (than your enemy), and guard your territory by stationing army units permanently at the places from where the enemy can attack you, and fear Allah, so that you may be successful.",3:200,believe endure patient enemy guard territory stationing army units permanently places enemy attack fear allah may successful,believ endur patient enemi guard territori station armi unit perman place enemi attack fear allah may success,believe endure patient enemy guard territory stationing army unit permanently place enemy attack fear allah may successful
Surah An-Nisa',"O mankind! Be dutiful to your Lord, Who created you from a single person (Adam), and from him (Adam) He created his wife [Hawwa (Eve)], and from them both He created many men and women and fear Allah through Whom you demand your mutual (rights), and (do not cut the relations of) the wombs (kinship) . Surely, Allah is Ever an All-Watcher over you.",4:1,mankind dutiful lord created single person adam adam created wife hawwa eve created many men women fear allah demand mutual rights cut relations wombs kinship surely allah ever allwatcher,mankind duti lord creat singl person adam adam creat wife hawwa eve creat mani men women fear allah demand mutual right cut relat womb kinship sure allah ever allwatch,mankind dutiful lord created single person adam adam created wife hawwa eve created many men woman fear allah demand mutual right cut relation womb kinship surely allah ever allwatcher
Surah An-Nisa',"And give unto orphans their property and do not exchange (your) bad things for (their) good ones; and devour not their substance (by adding it) to your substance. Surely, this is a great sin.",4:2,give unto orphans property exchange bad things good ones devour substance adding substance surely great sin,give unto orphan properti exchang bad thing good one devour substanc ad substanc sure great sin,give unto orphan property exchange bad thing good one devour substance adding substance surely great sin
Surah An-Nisa',"And if you fear that you shall not be able to deal justly with the orphan-girls, then marry (other) women of your choice, two or three, or four but if you fear that you shall not be able to deal justly (with them), then only one or (the captives and the slaves) that your right hands possess. That is nearer to prevent you from doing injustice.",4:3,fear shall able deal justly orphangirls marry women choice two three four fear shall able deal justly one captives slaves right hands possess nearer prevent injustice,fear shall abl deal justli orphangirl marri women choic two three four fear shall abl deal justli one captiv slave right hand possess nearer prevent injustic,fear shall able deal justly orphangirls marry woman choice two three four fear shall able deal justly one captive slave right hand posse nearer prevent injustice
Surah An-Nisa',"And give to the women (whom you marry) their Mahr (obligatory bridal money given by the husband to his wife at the time of marriage) with a good heart, but if they, of their own good pleasure, remit any part of it to you, take it, and enjoy it without fear of any harm (as Allah has made it lawful).",4:4,give women marry mahr obligatory bridal money given husband wife time marriage good heart good pleasure remit part take enjoy without fear harm allah made lawful,give women marri mahr obligatori bridal money given husband wife time marriag good heart good pleasur remit part take enjoy without fear harm allah made law,give woman marry mahr obligatory bridal money given husband wife time marriage good heart good pleasure remit part take enjoy without fear harm allah made lawful
Surah An-Nisa',"And give not unto the foolish your property which Allah has made a means of support for you , but feed and clothe them therewith, and speak to them words of kindness and justice.",4:5,give unto foolish property allah made means support feed clothe therewith speak words kindness justice,give unto foolish properti allah made mean support feed cloth therewith speak word kind justic,give unto foolish property allah made mean support feed clothe therewith speak word kindness justice
Surah An-Nisa',"And try orphans (as regards their intelligence) until they reach the age of marriage; if then you find sound judgement in them, release their property to them, but consume it not wastefully, and hastily fearing that they should grow up, and whoever amongst guardians is rich, he should take no wages, but if he is poor, let him have for himself what is just and reasonable (according to his work). And when you release their property to them, take witness in their presence; and Allah is All-Sufficient in taking account.",4:6,try orphans regards intelligence reach age marriage find sound judgement release property consume wastefully hastily fearing grow whoever amongst guardians rich take wages poor let reasonable according work release property take witness presence allah allsufficient taking account,tri orphan regard intellig reach age marriag find sound judgement releas properti consum wast hastili fear grow whoever amongst guardian rich take wage poor let reason accord work releas properti take wit presenc allah allsuffici take account,try orphan regard intelligence reach age marriage find sound judgement release property consume wastefully hastily fearing grow whoever amongst guardian rich take wage poor let reasonable according work release property take witness presence allah allsufficient taking account
Surah An-Nisa',"There is a share for men and a share for women from what is left by parents and those nearest related, whether, the property be small or large – a legal share.",4:7,share men share women left parents nearest related whether property small large legal share,share men share women left parent nearest relat whether properti small larg legal share,share men share woman left parent nearest related whether property small large legal share
Surah An-Nisa',"And when the relatives and the orphans and Al-Masakin (the poor) are present at the time of division, give them out of the property, and speak to them words of kindness and justice.",4:8,relatives orphans almasakin poor present time division give property speak words kindness justice,rel orphan almasakin poor present time divis give properti speak word kind justic,relative orphan almasakin poor present time division give property speak word kindness justice
Surah An-Nisa',"And let those (executors and guardians) have the same fear in their minds as they would have for their own, if they had left weak offspring behind. So let them fear Allah and speak right words.",4:9,let executors guardians fear minds would left weak offspring behind let fear allah speak right words,let executor guardian fear mind would left weak offspr behind let fear allah speak right word,let executor guardian fear mind would left weak offspring behind let fear allah speak right word
Surah An-Nisa',"Verily, those who unjustly eat up the property of orphans, they eat up only a fire into their bellies, and they will be burnt in the blazing Fire!",4:10,verily unjustly eat property orphans eat fire bellies burnt blazing fire,verili unjustli eat properti orphan eat fire belli burnt blaze fire,verily unjustly eat property orphan eat fire belly burnt blazing fire
Surah An-Nisa',"Allah commands you as regards your children’s (inheritance); to the male, a portion equal to that of two females; if (there are) only daughters, two or more, their share is two thirds of the inheritance; if only one, her share is half. For parents, a sixth share of inheritance to each if the deceased left children; if no children, and the parents are the (only) heirs, the mother has a third; if the deceased left brothers or (sisters), the mother has a sixth. (The distribution in all cases is) after the payment of legacies he may have bequeathed or debts. You know not which of them, whether your parents or your children, are nearest to you in benefit, (these fixed shares) are ordained by Allah. And Allah is Ever All-Knower, All-Wise.",4:11,allah commands regards childrens inheritance male portion equal two females daughters two share two thirds inheritance one share half parents sixth share inheritance deceased left children children parents heirs mother third deceased left brothers sisters mother sixth distribution cases payment legacies may bequeathed debts know whether parents children nearest benefit fixed shares ordained allah allah ever allknower allwise,allah command regard children inherit male portion equal two femal daughter two share two third inherit one share half parent sixth share inherit deceas left children children parent heir mother third deceas left brother sister mother sixth distribut case payment legaci may bequeath debt know whether parent children nearest benefit fix share ordain allah allah ever allknow allwis,allah command regard childrens inheritance male portion equal two female daughter two share two third inheritance one share half parent sixth share inheritance deceased left child child parent heir mother third deceased left brother sister mother sixth distribution case payment legacy may bequeathed debt know whether parent child nearest benefit fixed share ordained allah allah ever allknower allwise
Surah An-Nisa',"In that which your wives leave, your share is a half if they have no child; but if they leave a child, you get a fourth of that which they leave after payment of legacies that they may have bequeathed or debts. In that which you leave, their (your wives) share is a fourth if you leave no child; but if you leave a child, they get an eighth of that which you leave after payment of legacies that you may have bequeathed or debts. If the man or woman whose inheritance is in question has left neither ascendants nor descendants, but has left a brother or a sister, each one of the two gets a sixth; but if more than two, they share in a third; after payment of lagacies he (or she) may have bequeathed or debts, so that no loss is caused (to anyone). This is a Commandment from Allah; and Allah is Ever All-Knowing, Most-Forbearing.",4:12,wives leave share half child leave child get fourth leave payment legacies may bequeathed debts leave wives share fourth leave child leave child get eighth leave payment legacies may bequeathed debts man woman whose inheritance question left neither ascendants descendants left brother sister one two gets sixth two share third payment lagacies may bequeathed debts loss caused anyone commandment allah allah ever allknowing mostforbearing,wive leav share half child leav child get fourth leav payment legaci may bequeath debt leav wive share fourth leav child leav child get eighth leav payment legaci may bequeath debt man woman whose inherit question left neither ascend descend left brother sister one two get sixth two share third payment lagaci may bequeath debt loss caus anyon command allah allah ever allknow mostforbear,wife leave share half child leave child get fourth leave payment legacy may bequeathed debt leave wife share fourth leave child leave child get eighth leave payment legacy may bequeathed debt man woman whose inheritance question left neither ascendant descendant left brother sister one two get sixth two share third payment lagacies may bequeathed debt loss caused anyone commandment allah allah ever allknowing mostforbearing
Surah An-Nisa',"These are the limits (set by) Allah (or ordainments as regards laws of inheritance), and whosoever obeys Allah and His Messenger (Muhammad ) will be admitted to Gardens under which rivers flow (in Paradise), to abide therein, and that will be the great success.",4:13,limits set allah ordainments regards laws inheritance whosoever obeys allah messenger muhammad admitted gardens rivers flow paradise abide therein great success,limit set allah ordain regard law inherit whosoev obey allah messeng muhammad admit garden river flow paradis abid therein great success,limit set allah ordainments regard law inheritance whosoever obeys allah messenger muhammad admitted garden river flow paradise abide therein great success
Surah An-Nisa',"And whosoever disobeys Allah and His Messenger (Muhammad ), and transgresses His limits, He will cast him into the Fire, to abide therein; and he shall have a disgraceful torment.",4:14,whosoever disobeys allah messenger muhammad transgresses limits cast fire abide therein shall disgraceful torment,whosoev disobey allah messeng muhammad transgress limit cast fire abid therein shall disgrac torment,whosoever disobeys allah messenger muhammad transgresses limit cast fire abide therein shall disgraceful torment
Surah An-Nisa',"And those of your women who commit illegal sexual intercourse, take the evidence of four witnesses from amongst you against them; and if they testify, confine them (i.e. women) to houses until death comes to them or Allah ordains for them some (other) way.",4:15,women commit illegal sexual intercourse take evidence four witnesses amongst testify confine ie women houses death comes allah ordains way,women commit illeg sexual intercours take evid four wit amongst testifi confin ie women hous death come allah ordain way,woman commit illegal sexual intercourse take evidence four witness amongst testify confine ie woman house death come allah ordains way
Surah An-Nisa',"And the two persons (man and woman) among you who commit illegal sexual intercourse, punish them both. And if they repent (promise Allah that they will never repeat, i.e. commit illegal sexual intercourse and other similar sins) and do righteous good deeds, leave them alone. Surely, Allah is Ever the One Who accepts repentance, (and He is) Most Merciful.",4:16,two persons man woman among commit illegal sexual intercourse punish repent promise allah never repeat ie commit illegal sexual intercourse similar sins righteous good deeds leave alone surely allah ever one accepts repentance merciful,two person man woman among commit illeg sexual intercours punish repent promis allah never repeat ie commit illeg sexual intercours similar sin righteou good deed leav alon sure allah ever one accept repent merci,two person man woman among commit illegal sexual intercourse punish repent promise allah never repeat ie commit illegal sexual intercourse similar sin righteous good deed leave alone surely allah ever one accepts repentance merciful
Surah An-Nisa',"Allah accepts only the repentance of those who do evil in ignorance and foolishness and repent soon afterwards; it is they to whom Allah will forgive and Allah is Ever All-Knower, All-Wise.",4:17,allah accepts repentance evil ignorance foolishness repent soon afterwards allah forgive allah ever allknower allwise,allah accept repent evil ignor foolish repent soon afterward allah forgiv allah ever allknow allwis,allah accepts repentance evil ignorance foolishness repent soon afterwards allah forgive allah ever allknower allwise
Surah An-Nisa',And of no effect is the repentance of those who continue to do evil deeds until death faces one of them and he says: “Now I repent;” nor of those who die while they are disbelievers. For them We have prepared a painful torment.,4:18,effect repentance continue evil deeds death faces one says repent die disbelievers prepared painful torment,effect repent continu evil deed death face one say repent die disbeliev prepar pain torment,effect repentance continue evil deed death face one say repent die disbeliever prepared painful torment
Surah An-Nisa',"O you who believe! You are forbidden to inherit women against their will, and you should not treat them with harshness, that you may take away part of the Mahr you have given them, unless they commit open illegal sexual intercourse. And live with them honourably. If you dislike them, it may be that you dislike a thing and Allah brings through it a great deal of good.",4:19,believe forbidden inherit women treat harshness may take away part mahr given unless commit open illegal sexual intercourse live honourably dislike may dislike thing allah brings great deal good,believ forbidden inherit women treat harsh may take away part mahr given unless commit open illeg sexual intercours live honour dislik may dislik thing allah bring great deal good,believe forbidden inherit woman treat harshness may take away part mahr given unless commit open illegal sexual intercourse live honourably dislike may dislike thing allah brings great deal good
Surah An-Nisa',"But if you intend to replace a wife by another and you have given one of them a Cantar (of gold i.e. a great amount) as Mahr, take not the least bit of it back; would you take it wrongfully without a right and (with) a manifest sin?",4:20,intend replace wife another given one cantar gold ie great amount mahr take least bit back would take wrongfully without right manifest sin,intend replac wife anoth given one cantar gold ie great amount mahr take least bit back would take wrong without right manifest sin,intend replace wife another given one cantar gold ie great amount mahr take least bit back would take wrongfully without right manifest sin
Surah An-Nisa',"And how could you take it (back) while you have gone in unto each other, and they have taken from you a firm and strong covenant?",4:21,could take back gone unto taken firm strong covenant,could take back gone unto taken firm strong coven,could take back gone unto taken firm strong covenant
