Surah Name,Verse Translation,Number Chapter and Verse,Extracted Keywords
Surah An-Nisa',And to Allah belongs all that is in the heavens and all that is in the earth. And Allah is Ever Encompassing all things.,4:126,"['ever encompassing', 'allah belongs', 'allah', 'things', 'heavens', 'earth']"
Surah An-Nisa',"They ask your legal instruction concerning women, say: Allah instructs you about them, and about what is recited unto you in the Book concerning the orphan girls whom you give not the prescribed portions (as regards Mahr and inheritance) and yet whom you desire to marry, and (concerning) the children who are weak and oppressed, and that you stand firm for justice to orphans. And whatever good you do, Allah is Ever All-Aware of it.",4:127,"['legal instruction concerning women', 'book concerning', 'whatever good', 'stand firm', 'regards mahr', 'recited unto', 'prescribed portions', 'orphan girls', 'allah instructs', 'concerning', 'allah', 'yet', 'weak', 'say', 'orphans', 'oppressed', 'marry', 'justice', 'inheritance', 'give', 'ever', 'desire', 'children', 'aware', 'ask']"
Surah An-Nisa',"And if a woman fears cruelty or desertion on her husband’s part, there is no sin on them both if they make terms of peace between themselves; and making peace is better. And human inner-selves are swayed by greed. But if you do good and keep away from evil, verily, Allah is Ever Well-Acquainted with what you do.",4:128,"['woman fears cruelty', 'make terms', 'keep away', 'husband ’', 'human inner', 'ever well', 'making peace', 'peace', 'verily', 'swayed', 'sin', 'selves', 'part', 'greed', 'good', 'evil', 'desertion', 'better', 'allah', 'acquainted']"
Surah An-Nisa',"You will never be able to do perfect justice between wives even if it is your ardent desire, so do not incline too much to one of them (by giving her more of your time and provision) so as to leave the other hanging (i.e. neither divorced nor married). And if you do justice, and do all that is right and fear Allah by keeping away from all that is wrong, then Allah is Ever Oft-Forgiving, Most Merciful.",4:129,"['wives even', 'neither divorced', 'married ).', 'keeping away', 'ever oft', 'ardent desire', 'perfect justice', 'fear allah', 'justice', 'allah', 'wrong', 'time', 'right', 'provision', 'one', 'never', 'much', 'merciful', 'leave', 'incline', 'hanging', 'giving', 'forgiving', 'e', 'able']"
Surah An-Nisa',"But if they separate (by divorce), Allah will provide abundance for everyone of them from His Bounty. And Allah is Ever All-Sufficient for His creatures’ need, All-Wise.",4:130,"['creatures ’ need', 'divorce ), allah', 'provide abundance', 'allah', 'wise', 'sufficient', 'separate', 'everyone', 'ever', 'bounty']"
Surah An-Nisa',"And to Allah belongs all that is in the heavens and all that is in the earth. And verily, We have recommended to the people of the Scripture before you, and to you (O Muslims) that you (all) fear Allah, and keep your duty to Him, But if you disbelieve, then unto Allah belongs all that is in the heavens and all that is in the earth, and Allah is Ever Rich (Free of all wants), Worthy of all praise.",4:131,"['wants ), worthy', 'unto allah belongs', 'allah belongs', 'fear allah', 'ever rich', 'allah', 'verily', 'scripture', 'recommended', 'praise', 'people', 'muslims', 'keep', 'heavens', 'heavens', 'free', 'earth', 'earth', 'duty', 'disbelieve']"
Surah An-Nisa',And to Allah belongs all that is in the heavens and all that is in the earth. And Allah is Ever All-Sufficient as a Disposer of affairs.,4:132,"['allah belongs', 'allah', 'sufficient', 'heavens', 'ever', 'earth', 'disposer', 'affairs']"
Surah An-Nisa',"If He wills, He can take you away, O people, and bring others. And Allah is Ever All-Potent over that.",4:133,"['bring others', 'wills', 'take', 'potent', 'people', 'ever', 'away', 'allah']"
Surah An-Nisa',"Whoever desires a reward in this life of the world, then with Allah (Alone and none else) is the reward of this worldly life and of the Hereafter. And Allah is Ever All-Hearer, All-Seer.",4:134,"['whoever desires', 'none else', 'worldly life', 'life', 'world', 'seer', 'reward', 'reward', 'hereafter', 'hearer', 'ever', 'alone', 'allah', 'allah']"
Surah An-Nisa',"O you who believe! Stand out firmly for justice, as witnesses to Allah, even though it be against yourselves, or your parents, or your kin, be he rich or poor, Allah is a Better Protector to both (than you). So follow not the lusts (of your hearts), lest you may avoid justice, and if you distort your witness or refuse to give it, verily, Allah is Ever Well-Acquainted with what you do.",4:135,"['hearts ), lest', 'may avoid justice', 'ever well', 'even though', 'better protector', 'justice', 'witnesses', 'witness', 'verily', 'stand', 'rich', 'refuse', 'poor', 'parents', 'lusts', 'kin', 'give', 'follow', 'firmly', 'distort', 'believe', 'allah', 'allah', 'allah', 'acquainted', ').']"
Surah An-Nisa',"O you who believe! Believe in Allah, and His Messenger (Muhammad ), and the Book (the Qur’an) which He has sent down to His Messenger, and the Scripture which He sent down to those before (him), and whosoever disbelieves in Allah, His Angels, His Books, His Messengers, and the Last Day, then indeed he has strayed far away.",4:136,"['strayed far away', 'whosoever disbelieves', 'qur ’', 'last day', 'muhammad ),', '),', 'sent', 'sent', 'scripture', 'messengers', 'messenger', 'messenger', 'indeed', 'books', 'book', 'believe', 'believe', 'angels', 'allah', 'allah']"
Surah An-Nisa',"Verily, those who believe, then disbelieve, then believe (again), and (again) disbelieve, and go on increasing in disbelief; Allah will not forgive them, nor guide them on the (Right) Way.",4:137,"['way', 'verily', 'right', 'increasing', 'guide', 'go', 'forgive', 'disbelieve', 'disbelieve', 'disbelief', 'believe', 'believe', 'allah', '),']"
Surah An-Nisa',Give to the hypocrites the tidings that there is for them a painful torment.,4:138,"['painful torment', 'tidings', 'hypocrites', 'give']"
Surah An-Nisa',"Those who take disbelievers for Auliya’ (protectors or helpers or friends) instead of believers, do they seek honour, power and glory with them? Verily, then to Allah belongs all honour, power and glory.",4:139,"['take disbelievers', 'auliya ’', 'allah belongs', 'seek honour', 'honour', 'verily', 'protectors', 'power', 'power', 'instead', 'helpers', 'glory', 'glory', 'friends', 'believers']"
Surah An-Nisa',"And it has already been revealed to you in the Book (this Qur’an) that when you hear the Verses of Allah being denied and mocked at, then sit not with them, until they engage in a talk other than that; (but if you stayed with them) certainly in that case you would be like them. Surely, Allah will collect the hypocrites and disbelievers all together in Hell,",4:140,"['qur ’', 'would', 'verses', 'together', 'talk', 'surely', 'stayed', 'sit', 'revealed', 'mocked', 'like', 'hypocrites', 'hell', 'hear', 'engage', 'disbelievers', 'denied', 'collect', 'certainly', 'case', 'book', 'already', 'allah', 'allah']"
Surah An-Nisa',"Those (hyprocrites) who wait and watch about you; if you gain a victory from Allah, they say: “Were we not with you,” but if the disbelievers gain a success, they say (to them): “Did we not gain mastery over you and did we not protect you from the believers?” Allah will judge between you (all) on the Day of Resurrection. And never will Allah grant to the disbelievers a way (to triumph) over the believers.",4:141,"['believers ?” allah', 'allah grant', 'gain mastery', '): “', 'disbelievers gain', 'believers', 'allah', 'gain', '“', 'disbelievers', 'way', 'watch', 'wait', 'victory', 'triumph', 'success', 'say', 'say', 'resurrection', 'protect', 'never', 'judge', 'hyprocrites', 'day', ',”']"
Surah An-Nisa',"Verily, the hypocrites seek to deceive Allah, but it is He Who deceives them.  And when they stand up for As-Salat (the prayer), they stand with laziness and to be seen of men, and they do not remember Allah but little.",4:142,"['remember allah', 'prayer ),', 'hypocrites seek', 'deceive allah', 'verily', 'stand', 'stand', 'seen', 'salat', 'men', 'little', 'laziness', 'deceives']"
Surah An-Nisa',"(They are) swaying between this and that, belonging neither to these nor to those, and he whom Allah sends astray, you will not find for him a way (to the truth – Islam).",4:143,"['truth – islam ).', 'allah sends astray', 'belonging neither', 'way', 'swaying', 'find']"
Surah An-Nisa',O you who believe! Take not for Auliya’ (protectors or helpers or friends) disbelievers instead of believers. Do you wish to offer Allah a manifest proof against yourselves?,4:144,"['offer allah', 'manifest proof', 'disbelievers instead', 'auliya ’', 'wish', 'take', 'protectors', 'helpers', 'friends', 'believers', 'believe']"
Surah An-Nisa',"Verily, the hyprocrites will be in the lowest depths (grade) of the Fire; no helper will you find for them.",4:145,"['lowest depths', 'verily', 'hyprocrites', 'helper', 'grade', 'fire', 'find']"
Surah An-Nisa',"Except those who repent (from hypocrisy), do righteous good deeds, hold fast to Allah, and purify their religion for Allah (by worshipping none but Allah, and do good for Allah’s sake only, not to show-off), then they will be with the believers. And Allah will grant to the believers a great reward.",4:146,"['righteous good deeds', 'worshipping none', 'hold fast', 'great reward', 'hypocrisy ),', 'allah ’', 'good', '),', 'allah', 'allah', 'allah', 'allah', 'show', 'sake', 'repent', 'religion', 'purify', 'grant', 'except', 'believers', 'believers']"
Surah An-Nisa',"Why should Allah punish you if you have thanked (Him) and have believed in Him. And Allah is Ever All-Appreciative (of good), All-Knowing.",4:147,"['good ),', 'allah punish', 'allah', 'thanked', 'knowing', 'ever', 'believed', 'appreciative']"
Surah An-Nisa',"Allah does not like that the evil should be uttered in public except by him who has been wronged. And Allah is Ever All-Hearer, All-Knower.",4:148,"['public except', 'wronged', 'uttered', 'like', 'knower', 'hearer', 'evil', 'ever', 'allah', 'allah']"
Surah An-Nisa',"Whether you (mankind) disclose (by good words of thanks) a good deed (done to you in the form of a favour by someone), or conceal it, or pardon an evil, … verily, Allah is Ever Oft-Pardoning, All-Powerful.",4:149,"['… verily', 'someone ),', 'good words', 'good deed', 'ever oft', 'whether', 'thanks', 'powerful', 'pardoning', 'pardon', 'mankind', 'form', 'favour', 'evil', 'done', 'disclose', 'conceal', 'allah']"
Surah An-Nisa',"Verily, those who disbelieve in Allah and His Messengers and wish to make distinction between Allah and His Messengers (by believing in Allah and disbelieving in His Messengers) saying, “We believe in some but reject others,” and wish to adopt a way in between.",4:150,"['reject others ,”', 'make distinction', '“', 'wish', 'wish', 'way', 'verily', 'saying', 'messengers', 'messengers', 'messengers', 'disbelieving', 'disbelieve', 'believing', 'believe', 'allah', 'allah', 'allah', 'adopt']"
Surah An-Nisa',They are in truth disbelievers. And We have prepared for the disbelievers a humiliating torment.,4:151,"['humiliating torment', 'truth disbelievers', 'disbelievers', 'prepared']"
Surah An-Nisa',"And those who believe in Allah and His Messengers and make no distinction between any of them (Messengers), We shall give them their rewards, and Allah is Ever Oft-Forgiving, Most Merciful.",4:152,"['shall give', 'ever oft', 'messengers ),', 'messengers', 'rewards', 'merciful', 'make', 'forgiving', 'distinction', 'believe', 'allah', 'allah']"
Surah An-Nisa',"The people of the Scripture (Jews) ask you to cause a book to descend upon them from heaven. Indeed they asked Musa (Moses) for even greater than that, when they said: “Show us Allah in public,” but they were struck with thunder clap and lightning for their wickedness. Then they worshipped the calf even after clear proofs, evidences, and signs had come to them. (Even) so We forgave them. And We gave Musa (Moses) a clear proof of authority.",4:153,"['“ show us allah', 'thunder clap', 'public ,”', 'gave musa', 'descend upon', 'clear proofs', 'clear proof', 'asked musa', 'even greater', 'calf even', 'even', 'worshipped', 'wickedness', 'struck', 'signs', 'scripture', 'said', 'people', 'moses', 'moses', 'lightning', 'jews', 'indeed', 'heaven', 'forgave', 'evidences', 'come', 'cause', 'book', 'authority', 'ask']"
Surah An-Nisa',"And for their covenant, We raised over them the Mount and (on the other occasion) We said: “Enter the gate prostrating (or bowing) with humility;” and We commanded them: “Transgress not (by doing worldly works on) the Sabbath (Saturday).” And We took from them a firm covenant .",4:154,"['“ transgress', '“ enter', 'worldly works', 'saturday ).”', 'humility ;”', 'gate prostrating', 'firm covenant', 'covenant', 'took', 'said', 'sabbath', 'raised', 'occasion', 'mount', 'commanded', 'bowing']"
Surah An-Nisa',"Because of their breaking the covenant, and of their rejecting the Ayat (proofs, evidences, verses, lessons, signs, revelations, etc.) of Allah, and of their killing the Prophets unjustly, and of their saying: “Our hearts are wrapped (with coverings, i.e. we do not understand what the Messengers say)” – nay, Allah has set a seal upon their hearts because of their disbelief, so they believe not but a little.",4:155,"['messengers say )” – nay', 'seal upon', 'prophets unjustly', 'etc .)', '“', 'wrapped', 'verses', 'understand', 'signs', 'set', 'saying', 'revelations', 'rejecting', 'proofs', 'little', 'lessons', 'killing', 'hearts', 'hearts', 'evidences', 'e', 'disbelief', 'coverings', 'covenant', 'breaking', 'believe', 'ayat', 'allah', 'allah']"
Surah An-Nisa',And because of their (Jews) disbelief and uttering against Maryam (Mary) a grave false charge (that she has committed illegal sexual intercourse);,4:156,"['committed illegal sexual intercourse );', 'grave false charge', 'uttering', 'maryam', 'mary', 'jews', 'disbelief']"
Surah An-Nisa',"And because of their saying (in boast), “We killed Messiah ‘Iesa (Jesus), son of Maryam (Mary), the Messenger of Allah,” – but they killed him not, nor crucified him, but the resemblance of ‘Iesa (Jesus) was put over another man (and they killed that man), and those who differ therein are full of doubts. They have no (certain) knowledge, they follow nothing but conjecture. For surely; they killed him not [i.e. ‘Iesa (Jesus), son of Maryam (Mary) ]:",4:157,"['killed messiah ‘ iesa', 'allah ,” –', 'boast ), “', 'jesus ), son', 'jesus ), son', '‘ iesa', '‘ iesa', 'man ),', 'mary ),', 'follow nothing', 'differ therein', 'another man', 'jesus', 'killed', 'killed', 'killed', 'mary', 'surely', 'saying', 'resemblance', 'put', 'messenger', 'maryam', 'maryam', 'knowledge', 'full', 'e', 'doubts', 'crucified', 'conjecture', 'certain', ']:']"
Surah An-Nisa',"But Allah raised him [‘Iesa (Jesus)] up (with his body and soul) unto Himself (and he is in the heavens). And Allah is Ever All-Powerful, All-Wise.",4:158,"['jesus )]', 'heavens ).', '[‘ iesa', 'allah raised', 'allah', 'wise', 'unto', 'soul', 'powerful', 'ever', 'body']"
Surah An-Nisa',"And there is none of the people of the Scripture (Jews and Christians), but must believe in him [‘Iesa (Jesus), son of Maryam (Mary), as only a Messenger of Allah and a human being], before his [‘Iesa (Jesus) or a Jew’s or a Christian’s] death (at the time of the appearance of the angel of death). And on the Day of Resurrection, he [‘Iesa (Jesus)] will be a witness against them.",4:159,"['jesus ), son', 'mary ),', 'christians ),', 'must believe', 'jew ’', 'jesus )]', 'christian ’', '[‘ iesa', '[‘ iesa', '[‘ iesa', 'death ).', 'jesus', 'death', 'witness', 'time', 'scripture', 'resurrection', 'people', 'none', 'messenger', 'maryam', 'jews', 'human', 'day', 'appearance', 'angel', 'allah', '],']"
Surah An-Nisa',"For the wrong-doing of the Jews, We made unlawful to them certain good foods which has been lawful to them, and for their hindering many from Allah’s Way;",4:160,"['certain good foods', 'made unlawful', 'hindering many', 'allah ’', 'wrong', 'way', 'lawful', 'jews']"
Surah An-Nisa',"And their taking of Riba (usury) though they were forbidden from taking it and their devouring of men’s substance wrongfully (bribery, etc.). And We have prepared for the disbelievers among them a painful torment.",4:161,"['substance wrongfully', 'painful torment', 'men ’', 'etc .).', 'disbelievers among', 'usury', 'though', 'taking', 'taking', 'riba', 'prepared', 'forbidden', 'devouring', 'bribery']"
Surah An-Nisa',"But those among them who are well-grounded in knowledge, and the believers, believe in what has been sent down to you (Muhammad ) and what was sent down before you, and those who perform As-Salat (Iqamat-as-Salat), and give Zakat and believe in Allah and in the Last Day, it is they to whom We shall give a great reward.",4:162,"['shall give', 'last day', 'great reward', 'give zakat', 'salat ),', 'salat', 'well', 'sent', 'sent', 'perform', 'muhammad', 'knowledge', 'iqamat', 'grounded', 'believers', 'believe', 'believe', 'among', 'allah']"
Surah An-Nisa',"Verily, We have inspired you (O Muhammad ) as We inspired Nuh (Noah) and the Prophets after him; We (also) inspired Ibrahim (Abraham), Isma’il (Ishmael), Ishaque (Isaac), Ya’qub (Jacob), and Al-Asbat [the twelve sons of Ya’qub (Jacob)], ‘Iesa (Jesus), Ayub (Job), Yunus (Jonah), Harun (Aaron), and Sulaiman (Solomon), and to Dawud (David) We gave the Zabur (Psalms).",4:163,"['abraham ), isma ’ il', 'isaac ), ya ’ qub', 'jacob )], ‘ iesa', 'ya ’ qub', 'jonah ), harun', 'job ), yunus', 'jesus ), ayub', 'ishmael ), ishaque', 'jacob ),', 'solomon ),', 'aaron ),', 'twelve sons', 'psalms ).', 'inspired nuh', 'inspired ibrahim', 'inspired', 'zabur', 'verily', 'sulaiman', 'prophets', 'noah', 'muhammad', 'gave', 'dawud', 'david', 'asbat', 'also', 'al']"
Surah An-Nisa',"And Messengers We have mentioned to you before, and Messengers We have not mentioned to you, – and to Musa (Moses) Allah spoke directly.",4:164,"['allah spoke directly', '–', 'musa', 'moses', 'messengers', 'messengers', 'mentioned', 'mentioned']"
Surah An-Nisa',"Messengers as bearers of good news as well as of warning in order that mankind should have no plea against Allah after the Messengers. And Allah is Ever All-Powerful, All-Wise.",4:165,"['good news', 'wise', 'well', 'warning', 'powerful', 'plea', 'order', 'messengers', 'messengers', 'mankind', 'ever', 'bearers', 'allah', 'allah']"
Surah An-Nisa',"But Allah bears witness to that which He has sent down (the Qur’an) unto you (O Muhammad ), He has sent it down with His Knowledge, and the angels bear witness. And Allah is All-Sufficient as a Witness.",4:166,"['angels bear witness', 'allah bears witness', 'qur ’', 'muhammad ),', 'witness', 'allah', 'unto', 'sufficient', 'sent', 'sent', 'knowledge']"
Surah An-Nisa',"Verily, those who disbelieve [by concealing the truth about Prophet Muhammad  and his message of true Islamic Monotheism written with them in the Taurat (Torah) and the Injeel (Gospel)] and prevent (mankind) from the Path of Allah (Islamic Monotheism), they have certainly strayed far away. (Tafsir Al-Qurtubi). (See V.7:157)",4:167,"['certainly strayed far away', 'true islamic monotheism written', 'islamic monotheism ),', 'tafsir al', 'see v', 'qurtubi ).', 'prophet muhammad', 'gospel )]', 'verily', 'truth', 'torah', 'taurat', 'prevent', 'path', 'message', 'mankind', 'injeel', 'disbelieve', 'concealing', 'allah', '7', '157']"
Surah An-Nisa',"Verily, those who disbelieve and did wrong [by concealing the truth about Prophet Muhammad  and his message of true Islamic Monotheism written with them in the Taurat (Torah) and the Injeel (Gospel)], Allah will not forgive them, nor will He guide them to any way, – (Tafsir Al-Qurtubi).",4:168,"['true islamic monotheism written', 'gospel )], allah', 'tafsir al', 'qurtubi ).', 'prophet muhammad', '–', 'wrong', 'way', 'verily', 'truth', 'torah', 'taurat', 'message', 'injeel', 'guide', 'forgive', 'disbelieve', 'concealing']"
Surah An-Nisa',"Except the way of Hell, to dwell therein forever, and this is ever easy for Allah.",4:169,"['dwell therein forever', 'ever easy', 'way', 'hell', 'except', 'allah']"
Surah An-Nisa',"O mankind! Verily, there has come to you the Messenger (Muhammad ) with the truth from your Lord, so believe in him, it is better for you. But if you disbelieve, then certainly to Allah belongs all that is in the heavens and the earth. And Allah is Ever All-Knowing, All-Wise.",4:170,"['allah belongs', 'allah', 'wise', 'verily', 'truth', 'muhammad', 'messenger', 'mankind', 'lord', 'knowing', 'heavens', 'ever', 'earth', 'disbelieve', 'come', 'certainly', 'better', 'believe']"
Surah An-Nisa',"O people of the Scripture (Jews and Christians)! Do not exceed the limits in your religion, nor say of Allah aught but the truth. The Messiah ‘Iesa (Jesus), son of Maryam (Mary), was (no more than) a Messenger of Allah and His Word, (“Be!” – and he was) which He bestowed on Maryam (Mary) and a spirit (Ruh) created by Him; so believe in Allah and His Messengers. Say not: “Three (trinity)!” Cease! (it is) better for you. For Allah is (the only) One Ilah (God), Glory be to Him (Far Exalted is He) above having a son. To Him belongs all that is in the heavens and all that is in the earth. And Allah is All-Sufficient as a Disposer of affairs.",4:171,"['trinity )!” cease', 'messiah ‘ iesa', 'god ), glory', 'jesus ), son', 'mary ),', '“ three', 'one ilah', 'far exalted', 'christians )!', '!” –', 'allah aught', 'son', 'mary', 'allah', 'allah', 'allah', 'allah', 'word', 'truth', 'sufficient', 'spirit', 'scripture', 'say', 'say', 'ruh', 'religion', 'people', 'messengers', 'messenger', 'maryam', 'maryam', 'limits', 'jews', 'heavens', 'exceed', 'earth', 'disposer', 'created', 'better', 'bestowed', 'belongs', 'believe', 'affairs', '(“']"
Surah An-Nisa',"The Messiah will never be proud to reject to be a slave to Allah, nor the angels who are near (to Allah). And whosoever rejects His worship and is proud, then He will gather them all together unto Himself.",4:172,"['whosoever rejects', 'together unto', 'allah ).', 'allah', 'worship', 'slave', 'reject', 'proud', 'proud', 'never', 'near', 'messiah', 'gather', 'angels']"
Surah An-Nisa',"So, as for those who believed (in the Oneness of Allah – Islamic Monotheism) and did deeds of righteousness, He will give their (due) rewards, and more out of His Bounty. But as for those who refuse His worship and were proud, He will punish them with a painful torment . And they will not find for themselves besides Allah any protector or helper.",4:173,"['allah – islamic monotheism', 'besides allah', 'painful torment', 'worship', 'righteousness', 'rewards', 'refuse', 'punish', 'proud', 'protector', 'oneness', 'helper', 'give', 'find', 'due', 'deeds', 'bounty', 'believed']"
Surah An-Nisa',"O mankind! Verily, there has come to you a convincing proof (Prophet Muhammad ) from your Lord, and We sent down to you a manifest light (this Qur’an).",4:174,"['qur ’', 'prophet muhammad', 'manifest light', 'convincing proof', 'verily', 'sent', 'mankind', 'lord', 'come', ').']"
Surah An-Nisa',"So, as for those who believed in Allah and held fast to Him, He will admit them to His Mercy and Grace (i.e. Paradise), and guide them to Himself by a Straight Path.",4:175,"['straight path', 'paradise ),', 'held fast', 'mercy', 'guide', 'grace', 'e', 'believed', 'allah', 'admit']"
Surah An-Nisa',"They ask you for a legal verdict. Say: “Allah directs (thus) about Al-Kalalah (those who leave neither descendants nor ascendants as heirs). If it is a man that dies, leaving a sister, but no child, she shall have half the inheritance. If (such a deceased was) a woman, who left no child, her brother takes her inheritance. If there are two sisters, they shall have two-thirds of the inheritance; if there are brothers and sisters, the male will have twice the share of the female. (Thus) does Allah makes clear to you (His Law) lest you go astray. And Allah is the All-Knower of everything.”",4:176,"['leave neither descendants', '“ allah directs', 'allah makes clear', 'legal verdict', 'heirs ).', 'go astray', 'everything .”', 'brother takes', 'two sisters', 'allah', 'two', 'sisters', 'woman', 'twice', 'thus', 'thus', 'thirds', 'sister', 'share', 'shall', 'shall', 'say', 'man', 'male', 'lest', 'left', 'leaving', 'law', 'knower', 'kalalah', 'inheritance', 'inheritance', 'inheritance', 'half', 'female', 'dies', 'deceased', 'child', 'child', 'brothers', 'ask', 'ascendants', 'al']"
Surah Al-Ma'idah,"O you who believe! Fulfill (your) obligations. Lawful to you (for food) are all the beasts of cattle except that which will be announced to you (herein), game (also) being unlawful when you assume Ihram for Hajj or ‘Umrah (pilgrimage). Verily, Allah commands that which He wills.",5:1,"['herein ), game', '‘ umrah', 'pilgrimage ).', 'cattle except', 'assume ihram', 'allah commands', 'wills', 'verily', 'unlawful', 'obligations', 'lawful', 'hajj', 'fulfill', 'food', 'believe', 'beasts', 'announced', 'also']"
Surah Al-Ma'idah,"O you who believe! Violate not the sanctity of the Symbols of Allah, nor of the Sacred Month, nor of the animals brought for sacrifice, nor the garlanded people or animals, etc. [Marked by the garlands on their necks made from the outer part of the tree-stems (of Makkah) for their security], nor the people coming to the Sacred House (Makkah), seeking the bounty and good pleasure of their Lord. But when you finish the Ihram (of Hajj or ‘Umrah), you may hunt, and let not the hatred of some people in (once) stopping you from Al-Masjid-al-Haram (at Makkah) lead you to transgression (and hostility on your part). Help you one another in Al-Birr and At-Taqwa (virtue, righteousness and piety); but do not help one another in sin and transgression. And fear Allah. Verily, Allah is Severe in punishment.",5:2,"['‘ umrah ),', 'makkah ), seeking', 'help one another', 'one another', 'security ],', 'sacred month', 'sacred house', 'piety );', 'part ).', 'outer part', 'necks made', 'may hunt', 'good pleasure', 'people coming', 'garlanded people', 'animals brought', 'fear allah', 'help', 'people', 'makkah', 'makkah', 'animals', 'allah', 'allah', 'virtue', 'violate', 'verily', 'tree', 'transgression', 'transgression', 'taqwa', 'symbols', 'stopping', 'stems', 'sin', 'severe', 'sanctity', 'sacrifice', 'righteousness', 'punishment', 'masjid', 'marked', 'lord', 'let', 'lead', 'ihram', 'hostility', 'hatred', 'haram', 'hajj', 'garlands', 'finish', 'etc', 'bounty', 'birr', 'believe', 'al', 'al', 'al']"
Surah Al-Ma'idah,"Forbidden to you (for food) are: Al-Maytatah (the dead animals – cattle-beast not slaughtered), blood, the flesh of swine, and the meat of that which has been slaughtered as a sacrifice for others than Allah, or has been slaughtered for idols, etc., or on which Allah’s Name has not been mentioned while slaughtering, and that which has been killed by strangling, or by a violent blow, or by a headlong fall, or by the goring of horns – and that which has been (partly) eaten by a wild animal – unless you are able to slaughter it (before its death) – and that which is sacrificed (slaughtered) on An-Nusub (stone altars). (Forbidden) also is to use arrows seeking luck or decision, (all) that is Fisqun (disobedience of Allah and sin). This day, those who disbelieved have given up all hope of your religion, so fear them not, but fear Me. This day, I have perfected your religion for you, completed My Favour upon you, and have chosen for you Islam as your religion. But as for him who is forced by severe hunger, with no inclination to sin (such can eat these above-mentioned meats), then surely, Allah is Oft-Forgiving, Most Merciful.",5:3,"['use arrows seeking luck', 'wild animal – unless', 'dead animals – cattle', 'stone altars ).', 'mentioned meats ),', 'slaughtered ), blood', 'horns –', 'violent blow', 'sin ).', 'severe hunger', 'headlong fall', 'favour upon', 'etc .,', 'allah ’', '–', 'mentioned', 'slaughtered', 'slaughtered', 'slaughtered', 'sin', 'allah', 'allah', 'allah', 'swine', 'surely', 'strangling', 'slaughtering', 'slaughter', 'sacrificed', 'sacrifice', 'religion', 'religion', 'religion', 'perfected', 'partly', 'others', 'oft', 'nusub', 'name', 'merciful', 'meat', 'maytatah', 'killed', 'islam', 'inclination', 'idols', 'hope', 'goring', 'given', 'forgiving', 'forced', 'forbidden', 'forbidden', 'food', 'flesh', 'fisqun', 'fear', 'fear', 'eaten', 'eat', 'disobedience', 'disbelieved', 'decision', 'death', 'day', 'day', 'completed', 'chosen', 'beast', 'also', 'al', 'able']"
Surah Al-Ma'idah,"They ask you (O Muhammad ) what is lawful for them (as food ). Say: “Lawful unto you are At-Tayyibat [all kind of Halal (lawful-good) foods which Allah has made lawful (meat of slaughtered eatable animals, milk products, fats, vegetables and fruits, etc.)]. And those beasts and birds of prey which you have trained as hounds, training and teaching them (to catch) in the manner as directed to you by Allah; so eat of what they catch for you, but pronounce the Name of Allah over it, and fear Allah. Verily, Allah is Swift in reckoning.”",5:4,"['slaughtered eatable animals', '“ lawful unto', 'reckoning .”', 'milk products', 'food ).', 'etc .)].', 'made lawful', 'fear allah', 'lawful', 'lawful', 'allah', 'allah', 'allah', 'allah', 'verily', 'vegetables', 'training', 'trained', 'teaching', 'tayyibat', 'swift', 'say', 'pronounce', 'prey', 'name', 'muhammad', 'meat', 'manner', 'kind', 'hounds', 'halal', 'good', 'fruits', 'foods', 'fats', 'eat', 'directed', 'catch', 'catch', 'birds', 'beasts', 'ask']"
Surah Al-Ma'idah,"Made lawful to you this day are At-Tayyibat [all kinds of Halal (lawful) foods, which Allah has made lawful (meat of slaughtered eatable animals, etc., milk products, fats, vegetables and fruits, etc.). The food (slaughtered cattle, eatable animals, etc.) of the people of the Scripture (Jews and Christians) is lawful to you and yours is lawful to them. (Lawful to you in marriage) are chaste women from the believers and chaste women from those who were given the Scripture (Jews and Christians) before your time, when you have given their due Mahr (bridal money given by the husband to his wife at the time of marriage), desiring chastity (i.e. taking them in legal wedlock) not committing illegal sexual intercourse, nor taking them as girl-friends. And whosoever disbelieves in the Oneness of Allah and in all the other Articles of Faith [i.e. His (Allah’s), Angels, His Holy Books, His Messengers, the Day of Resurrection and Al-Qadar (Divine Preordainments)], then fruitless is his work, and in the Hereafter he will be among the losers.",5:5,"['committing illegal sexual intercourse', 'etc ., milk products', 'marriage ), desiring chastity', 'divine preordainments )],', 'bridal money given', 'slaughtered eatable animals', 'eatable animals', '), angels', 'etc .).', 'etc .)', 'slaughtered cattle', 'whosoever disbelieves', 'legal wedlock', 'holy books', 'due mahr', 'chaste women', 'chaste women', 'made lawful', 'made lawful', 'allah ’', 'marriage', 'given', 'given', 'lawful', 'lawful', 'lawful', 'lawful', 'allah', 'allah', 'work', 'wife', 'vegetables', 'time', 'time', 'tayyibat', 'taking', 'taking', 'scripture', 'scripture', 'resurrection', 'qadar', 'people', 'oneness', 'messengers', 'meat', 'losers', 'kinds', 'jews', 'jews', 'husband', 'hereafter', 'halal', 'girl', 'fruits', 'fruitless', 'friends', 'foods', 'food', 'fats', 'faith', 'e', 'e', 'day', 'day', 'christians', 'christians', 'believers', 'articles', 'among', 'al']"
